# Frases do John, ROTULADAS — 2026-09-11. Aguardando conferencia dele.
#
# Formato: ferramenta | pedido | argumento
#
# O argumento e sempre um trecho EXATO do pedido, e isso nao e estilo: a cabeca
# de ponteiro COPIA um trecho: ela nao inventa texto. Conferido por teste aqui.
#
# `perguntar` domina (94 de 196) por um motivo so: o argumento obrigatorio nao
# esta escrito no pedido. "apaga esse arquivo aqui" nao tem arquivo para copiar,
# e nao ha resposta certa alem de perguntar qual.
#
#   perguntar            94
#   buscar_web           12
#   abrir_programa       12
#   processos            12
#   rede                 12
#   atalho               12
#   buscar_no_conteudo   11
#   executar_comando     9
#   criar_pasta          8
#   mover_arquivo        6
#   copiar_arquivo       4
#   escrever_arquivo     3
#   apagar_arquivo       1

buscar_web | Teka, pesquisa ai pra mim como que faz pra reutilizar um html no python | como que faz pra reutilizar um html no python
buscar_web | olha na internet qual jogo vai lançar na steam esse mês | qual jogo vai lançar na steam esse mês
buscar_web | mano, vê ai como eu faço uma api em python do zero | como eu faço uma api em python do zero
buscar_web | procura pra mim um tutorial de como instalar o node no windows | como instalar o node no windows
buscar_web | pesquisa ai qual a diferença entre sqlite e postgresql | qual a diferença entre sqlite e postgresql
buscar_web | vê na internet como que faz um bot do discord tocar musica | como que faz um bot do discord tocar musica
buscar_web | Teka, dá uma olhada quanto tá uma rx 580 usada hoje | quanto tá uma rx 580 usada hoje
buscar_web | pesquisa ai se já saiu alguma notícia do minecraft novo | alguma notícia do minecraft novo
buscar_web | mano, procura aquele erro de cors no express pra mim | erro de cors no express
buscar_web | vê ai como funciona o ollama no windows | como funciona o ollama no windows
buscar_web | pesquisa sobre como fazer um site com html css e javascript | como fazer um site com html css e javascript
buscar_web | olha ai na internet se tem algum curso bom de python pra iniciante | algum curso bom de python pra iniciante
abrir_programa | abre o vscode ai | vscode
abrir_programa | abre o navegador pra mim | navegador
abrir_programa | liga o discord ai rapidão | discord
abrir_programa | abre o terminal | terminal
abrir_programa | abre o spotify | spotify
abrir_programa | pode abrir o python ai? | python
abrir_programa | abre o explorador de arquivos | explorador de arquivos
abrir_programa | inicia o lm studio | lm studio
abrir_programa | Teka, liga o ollama | ollama
abrir_programa | abre o bloco de notas ai | bloco de notas
abrir_programa | liga o vscode que eu quero codar | vscode
abrir_programa | mano, abre o navegador ai | navegador
perguntar | copia esse arquivo pra outra pasta | 
perguntar | pega esse txt e faz uma cópia dele | 
copiar_arquivo | copia o relatório da área de trabalho pra documentos | documentos
copiar_arquivo | joga uma cópia desse arquivo na pasta backup | backup
perguntar | mano, copia esse projeto inteiro pra outra pasta | 
perguntar | faz uma cópia desse arquivo aqui rapidão | 
perguntar | duplica essa imagem pra mim | 
copiar_arquivo | copia o arquivo do estágio pra pasta documentos | documentos
perguntar | pega esse negócio aqui e copia lá pra outra pasta | 
copiar_arquivo | copia esse arquivo pra unidade E | unidade E
perguntar | faz um backup desse txt | 
perguntar | Teka, copia a pasta do projeto pra outro lugar | 
mover_arquivo | pega esse arquivo e joga na pasta documentos | documentos
mover_arquivo | move o relatório pra pasta do estágio | estágio
perguntar | renomeia esse arquivo pra relatório final | 
mover_arquivo | tira essa imagem daqui e coloca na pasta fotos | fotos
perguntar | mano, muda o nome desse txt pra teste 2 | 
perguntar | move esse projeto pra outra pasta ai | 
mover_arquivo | pega esse arquivo da área de trabalho e manda pra documentos | documentos
perguntar | joga esse arquivo na pasta antiga | 
