# Exemplos escritos à mão — destilação.
#
# Moldes multiplicam o mesmo esqueleto com valores diferentes. Estas frases são
# genuinamente distintas umas das outras, que é onde o gerador por moldes não
# alcança.
#
# formato:  ferramenta | pedido | argumento1 | argumento2
#
# Os argumentos são localizados por busca de substring no pedido. Um exemplo cujo
# argumento não apareça literalmente é descartado no carregamento.
#
# NUNCA copie frases de dados/frases_teste.txt para cá — aquilo é o benchmark, e
# um teste quebra se acontecer.

# ---------------------------------------------------------------- hora
hora | consegue me dizer as horas
hora | consegue me falar as horas
hora | sabe dizer que horas sao
hora | me fala as horas ai
hora | ta na hora de quanto
hora | horario atual
hora | data de hoje
hora | dia de hoje
hora | que horas o computador marca
hora | ve no relogio do sistema
hora | preciso do dia e da hora
hora | qual e o dia de hoje mesmo
hora | to perdido no dia, me situa
hora | anda, que horas sao
hora | rapido, me diz a hora
hora | to atrasado, que horas
hora | quantas horas sao agora
hora | hoje e segunda ou terca
hora | em que mes estamos
hora | qual o ano corrente
hora | ja passou do meio dia
hora | e de manha ainda
hora | data e hora completas por favor
hora | so a hora, por favor
hora | me atualiza o relogio
hora | consulta a hora do sistema
hora | verifica a data
hora | descobre que dia e hoje
hora | informa o dia e a hora
hora | diz o horario
hora | fala a data
hora | mostra a hora
hora | ver as horas
hora | checar data
hora | dia e hora
hora | horas
hora | que data e essa de hoje
hora | to sem nocao de tempo aqui
hora | qual o momento atual
hora | preciso registrar a hora

# ---------------------------------------------------------------- listar_pasta
listar_pasta | o que tem guardado dentro de src | src
listar_pasta | quais os itens da pasta dados | dados
listar_pasta | escancara a pasta src | src
listar_pasta | vasculha o diretorio dados | dados
listar_pasta | passa o olho em C:\Windows\System32 | C:\Windows\System32
listar_pasta | me diz tudo que ha em D:\backup | D:\backup
listar_pasta | conteudo do diretorio target\release | target\release
listar_pasta | abre e me mostra src\model | src\model
listar_pasta | tem quantos arquivos em C:\temp | C:\temp
listar_pasta | radiografia da pasta anotacoes | anotacoes
listar_pasta | quero enxergar o que ha em musicas | musicas
listar_pasta | destrincha a pasta fotos\2026 | fotos\2026
listar_pasta | joga na tela o conteudo de src\backend | src\backend
listar_pasta | o que foi guardado em C:\Users\User\Documentos | C:\Users\User\Documentos
listar_pasta | inspeciona o diretorio C:\Users\User\Downloads | C:\Users\User\Downloads
listar_pasta | me fala dos arquivos de src | src
listar_pasta | esvazia a duvida, o que tem em dados | dados
listar_pasta | catalogo da pasta anotacoes | anotacoes
listar_pasta | mapeia o diretorio src\model | src\model
listar_pasta | quantas coisas tem em C:\temp | C:\temp
listar_pasta | ve ai o que sobrou em D:\backup | D:\backup
listar_pasta | quero a lista de src | src
listar_pasta | lista completa de dados | dados
listar_pasta | roda um inventario em musicas | musicas
listar_pasta | dentro de fotos\2026 tem o que | fotos\2026
listar_pasta | pode olhar a pasta target\release | target\release
listar_pasta | curiosidade: o que ha em C:\Windows\System32 | C:\Windows\System32
listar_pasta | percorre C:\Users\User\Projetos | C:\Users\User\Projetos
listar_pasta | me poe a par do que tem em src\backend | src\backend
listar_pasta | levanta os arquivos de C:\Users\User\Documentos | C:\Users\User\Documentos

# ---------------------------------------------------------------- ler_arquivo
ler_arquivo | despeja o conteudo de notas.md | notas.md
ler_arquivo | abre pra mim o Cargo.toml | Cargo.toml
ler_arquivo | quero enxergar o texto de leia_me.txt | leia_me.txt
ler_arquivo | passa o olho em config.json | config.json
ler_arquivo | o que diz o relatorio_final_v3.txt | relatorio_final_v3.txt
ler_arquivo | escancara o src\main.rs | src\main.rs
ler_arquivo | joga na tela o orcamento.csv | orcamento.csv
ler_arquivo | destrincha o anotacoes\ideias.md | anotacoes\ideias.md
ler_arquivo | quero saber o que ha escrito em lista_de_compras.txt | lista_de_compras.txt
ler_arquivo | recupera o texto de C:\temp\saida.log | C:\temp\saida.log
ler_arquivo | mostra o interior do contrato.pdf | contrato.pdf
ler_arquivo | le e me conta o que tem no notas.md | notas.md
ler_arquivo | conteudo do arquivo dados\corpus_pt.txt | dados\corpus_pt.txt
ler_arquivo | quero conferir o Cargo.toml | Cargo.toml
ler_arquivo | dumpa o leia_me.txt na tela | leia_me.txt
ler_arquivo | transcreve o config.json | config.json
ler_arquivo | poe o src\main.rs aqui | src\main.rs
ler_arquivo | abre o orcamento.csv e me mostra | orcamento.csv
ler_arquivo | preciso ver por dentro do relatorio_final_v3.txt | relatorio_final_v3.txt
ler_arquivo | leia o arquivo lista_de_compras.txt | lista_de_compras.txt
ler_arquivo | escreveram o que em anotacoes\ideias.md | anotacoes\ideias.md
ler_arquivo | roda uma leitura em C:\temp\saida.log | C:\temp\saida.log
ler_arquivo | o texto de notas.md, por favor | notas.md
ler_arquivo | vamos ver o Cargo.toml | Cargo.toml
ler_arquivo | curiosidade: o que ha dentro de config.json | config.json
ler_arquivo | recita pra mim o leia_me.txt | leia_me.txt
ler_arquivo | quero ler por inteiro o contrato.pdf | contrato.pdf
ler_arquivo | vai la e le o src\main.rs | src\main.rs
ler_arquivo | consegue exibir o orcamento.csv | orcamento.csv
ler_arquivo | mostra tudo que esta escrito em notas.md | notas.md

# ---------------------------------------------------------------- procurar_arquivo
procurar_arquivo | some daqui um arquivo chamado relatorio, acha ele | relatorio
procurar_arquivo | garimpa um config por ai | config
procurar_arquivo | onde diabos esta o backup | backup
procurar_arquivo | preciso encontrar teka em algum lugar | teka
procurar_arquivo | fareja um orcamento no disco | orcamento
procurar_arquivo | tem algum contrato salvo aqui | contrato
procurar_arquivo | localiza pra mim o cv.pdf | cv.pdf
procurar_arquivo | sumiu o planilha, cade | planilha
procurar_arquivo | roda uma busca por musica.mp3 | musica.mp3
procurar_arquivo | quero saber onde ficou o recibo_2026 | recibo_2026
procurar_arquivo | esquadrinha o disco atras de notas | notas
procurar_arquivo | tem foto guardada em algum canto | foto
procurar_arquivo | descobre o paradeiro de relatorio | relatorio
procurar_arquivo | me ajuda a localizar config | config
procurar_arquivo | busca em tudo por backup | backup
procurar_arquivo | onde e que salvaram o orcamento | orcamento
procurar_arquivo | procura por teka nos arquivos | teka
procurar_arquivo | anda sumido o contrato, acha ai | contrato
procurar_arquivo | rastrear cv.pdf | cv.pdf
procurar_arquivo | existe algum planilha no computador | planilha
procurar_arquivo | quero achar musica.mp3 em algum lugar | musica.mp3
procurar_arquivo | caca no disco o recibo_2026 | recibo_2026
procurar_arquivo | tenta encontrar notas | notas
procurar_arquivo | ve se tem foto por ai | foto
procurar_arquivo | preciso do relatorio, onde esta | relatorio

# ---------------------------------------------------------------- calcular
calcular | manda ver 2+2 | 2+2
calcular | quanto sai de 15*340 | 15*340
calcular | resolve a continha 1024*8 | 1024*8
calcular | qual o total de 45+55 | 45+55
calcular | me da 7*8-12 | 7*8-12
calcular | processa (100-25)/3 | (100-25)/3
calcular | 3^4 da quanto | 3^4
calcular | fecha a conta 1000/25 | 1000/25
calcular | (12+8)*5 e quanto | (12+8)*5
calcular | tira o resultado de 99-33 | 99-33
calcular | multiplica 2,5*4 | 2,5*4
calcular | divide 144/12 | 144/12
calcular | preciso saber quanto e 2+2 | 2+2
calcular | faz esse calculo 15*340 | 15*340
calcular | executa a conta 1024*8 | 1024*8
calcular | soma 45+55 pra mim | 45+55
calcular | opera 7*8-12 | 7*8-12
calcular | resultado numerico de (100-25)/3 | (100-25)/3
calcular | eleva 3^4 | 3^4
calcular | quanto que fica 1000/25 | 1000/25
calcular | resolve isso aqui (12+8)*5 | (12+8)*5
calcular | subtrai 99-33 | 99-33
calcular | conta rapida 2,5*4 | 2,5*4
calcular | 144/12 quanto da | 144/12
calcular | me ajuda com 15*340 | 15*340

# ---------------------------------------------------------------- memoria
memoria | como anda a ram
memoria | ta faltando memoria
memoria | quanto de ram livre tem
memoria | uso de memoria agora
memoria | a ram esta sobrecarregada
memoria | quanta memoria o sistema gastou
memoria | ve a situacao da ram pra mim
memoria | o pc esta comendo muita memoria
memoria | folego de memoria
memoria | sobrou ram
memoria | diagnostico da memoria
memoria | me informa sobre a ram do sistema
memoria | quantos gigas de ram estao ocupados
memoria | a memoria aguenta mais um programa
memoria | to com pouca ram
memoria | mede a memoria
memoria | consulta a ram
memoria | ram disponivel
memoria | memoria em uso
memoria | quanto de memoria falta
memoria | esse computador tem ram sobrando
memoria | pressao de memoria no sistema
memoria | ve quanto de ram ainda tem
memoria | a ram ta no limite
memoria | estatistica de memoria

# ---------------------------------------------------------------- disco
disco | como anda o hd
disco | ta faltando espaco
disco | quanto de disco livre tem
disco | uso do armazenamento agora
disco | o disco esta lotado
disco | quantos gigas o disco gastou
disco | ve a situacao do hd pra mim
disco | o pc esta sem espaco
disco | folego de armazenamento
disco | sobrou disco
disco | diagnostico do armazenamento
disco | me informa sobre o espaco do sistema
disco | quantos gigas de disco estao ocupados
disco | ainda cabe coisa no hd
disco | to com pouco espaco
disco | mede o disco
disco | consulta o armazenamento
disco | espaco disponivel
disco | disco em uso
disco | quanto de espaco falta
disco | esse computador tem disco sobrando
disco | pressao de armazenamento
disco | ve quanto de hd ainda tem
disco | o ssd ta no limite
disco | estatistica de disco

# ---------------------------------------------------------------- escrever_arquivo
escrever_arquivo | joga lembrete dentro de notas.md | notas.md | lembrete
escrever_arquivo | guarda teste no leia_me.txt | leia_me.txt | teste
escrever_arquivo | poe comprar pao no lista_de_compras.txt | lista_de_compras.txt | comprar pao
escrever_arquivo | anota ola dentro de notas.md | notas.md | ola
escrever_arquivo | grava reuniao amanha no anotacoes\ideias.md | anotacoes\ideias.md | reuniao amanha
escrever_arquivo | salva anotacao rapida em C:\temp\saida.log | C:\temp\saida.log | anotacao rapida
escrever_arquivo | escreve senha antiga no arquivo notas.md | notas.md | senha antiga
escrever_arquivo | quero teste guardado em leia_me.txt | leia_me.txt | teste
escrever_arquivo | despeja lembrete no lista_de_compras.txt | lista_de_compras.txt | lembrete
escrever_arquivo | coloca ola dentro do anotacoes\ideias.md | anotacoes\ideias.md | ola
